Total Accesses:,7086622,,
Frames,Missees,Miss Rate,10.00%
1,6105474,0.861549,0.1
2,4495517,0.634367,0.1
3,4157840,0.586717,0.1
4,3985544,0.562404,0.1
5,3853639,0.543791,0.1
6,3769430,0.531908,0.1
7,3680551,0.519366,0.1
8,3534416,0.498745,0.1
9,3291317,0.464441,0.1
10,3052627,0.430759,0.1
11,2837713,0.400432,0.1
12,2697853,0.380697,0.1
13,2598678,0.366702,0.1
14,2504523,0.353416,0.1
15,2401517,0.33888,0.1
16,2298363,0.324324,0.1
17,2205226,0.311182,0.1
18,2120172,0.299179,0.1
19,2039533,0.2878,0.1
20,1958598,0.27638,0.1
21,1879002,0.265148,0.1
22,1803423,0.254483,0.1
23,1734624,0.244774,0.1
24,1674172,0.236244,0.1
25,1622873,0.229005,0.1
26,1579792,0.222926,0.1
27,1543500,0.217805,0.1
28,1512747,0.213465,0.1
29,1486488,0.20976,0.1
30,1463988,0.206585,0.1
31,1443785,0.203734,0.1
32,1426097,0.201238,0.1
33,1410101,0.198981,0.1
34,1395448,0.196913,0.1
35,1381648,0.194966,0.1
36,1368820,0.193155,0.1
37,1356612,0.191433,0.1
38,1344720,0.189755,0.1
39,1333669,0.188195,0.1
40,1322928,0.18668,0.1
41,1312687,0.185235,0.1
42,1302707,0.183826,0.1
43,1292683,0.182412,0.1
44,1283030,0.18105,0.1
45,1273539,0.17971,0.1
46,1264198,0.178392,0.1
47,1255132,0.177113,0.1
48,1246363,0.175875,0.1
49,1237696,0.174652,0.1
50,1229239,0.173459,0.1
51,1221028,0.1723,0.1
52,1212759,0.171134,0.1
53,1204849,0.170017,0.1
54,1196914,0.168898,0.1
55,1189322,0.167826,0.1
56,1181787,0.166763,0.1
57,1174266,0.165702,0.1
58,1166870,0.164658,0.1
59,1159717,0.163649,0.1
60,1152449,0.162623,0.1
61,1145287,0.161613,0.1
62,1138329,0.160631,0.1
63,1131663,0.15969,0.1
64,1124840,0.158727,0.1
65,1118146,0.157783,0.1
66,1111616,0.156861,0.1
67,1105102,0.155942,0.1
68,1098767,0.155048,0.1
69,1092416,0.154152,0.1
70,1086162,0.153269,0.1
71,1080049,0.152407,0.1
72,1073940,0.151545,0.1
73,1067928,0.150696,0.1
74,1062064,0.149869,0.1
75,1056219,0.149044,0.1
76,1050472,0.148233,0.1
77,1044875,0.147443,0.1
78,1039305,0.146657,0.1
79,1033694,0.145866,0.1
80,1028298,0.145104,0.1
81,1023100,0.144371,0.1
82,1017790,0.143621,0.1
83,1012812,0.142919,0.1
84,1007646,0.14219,0.1
85,1002887,0.141518,0.1
86,998054,0.140836,0.1
87,993264,0.14016,0.1
88,988555,0.139496,0.1
89,983860,0.138833,0.1
90,979214,0.138178,0.1
91,974699,0.137541,0.1
92,970188,0.136904,0.1
93,965707,0.136272,0.1
94,961365,0.135659,0.1
95,957140,0.135063,0.1
96,952974,0.134475,0.1
97,948690,0.133871,0.1
98,944582,0.133291,0.1
99,940455,0.132709,0.1
100,936487,0.132149,0.1
101,932455,0.13158,0.1
102,928420,0.13101,0.1
103,924353,0.130436,0.1
104,920401,0.129879,0.1
105,916452,0.129321,0.1
106,912519,0.128766,0.1
107,908615,0.128216,0.1
108,904837,0.127682,0.1
109,901141,0.127161,0.1
110,897395,0.126632,0.1
111,893706,0.126112,0.1
112,889960,0.125583,0.1
113,886274,0.125063,0.1
114,882710,0.12456,0.1
115,879193,0.124064,0.1
116,875668,0.123566,0.1
117,872197,0.123077,0.1
118,868847,0.122604,0.1
119,865431,0.122122,0.1
120,862048,0.121644,0.1
121,858732,0.121176,0.1
122,855412,0.120708,0.1
123,852106,0.120241,0.1
124,848820,0.119778,0.1
125,845593,0.119322,0.1
126,842426,0.118876,0.1
127,839305,0.118435,0.1
128,836214,0.117999,0.1
129,833133,0.117564,0.1
130,830055,0.11713,0.1
131,827001,0.116699,0.1
132,823966,0.116271,0.1
133,820947,0.115845,0.1
134,818083,0.11544,0.1
135,815176,0.11503,0.1
136,812303,0.114625,0.1
137,809410,0.114217,0.1
138,806557,0.113814,0.1
139,803670,0.113407,0.1
140,800815,0.113004,0.1
141,798048,0.112613,0.1
142,795200,0.112211,0.1
143,792472,0.111826,0.1
144,789737,0.111441,0.1
145,786996,0.111054,0.1
146,784351,0.110681,0.1
147,781735,0.110311,0.1
148,779145,0.109946,0.1
149,776633,0.109591,0.1
150,774108,0.109235,0.1
151,771568,0.108877,0.1
152,769025,0.108518,0.1
153,766472,0.108158,0.1
154,763870,0.10779,0.1
155,761346,0.107434,0.1
156,758939,0.107095,0.1
157,756455,0.106744,0.1
158,754058,0.106406,0.1
159,751664,0.106068,0.1
160,749292,0.105733,0.1
161,746849,0.105389,0.1
162,744514,0.105059,0.1
163,742139,0.104724,0.1
164,739836,0.104399,0.1
165,737556,0.104077,0.1
166,735242,0.103751,0.1
167,733001,0.103434,0.1
168,730757,0.103118,0.1
169,728525,0.102803,0.1
170,726334,0.102494,0.1
171,724190,0.102191,0.1
172,721990,0.101881,0.1
173,719840,0.101577,0.1
174,717586,0.101259,0.1
175,715423,0.100954,0.1
176,713253,0.100648,0.1
177,711205,0.100359,0.1
178,709120,0.100065,0.1
179,707079,0.099777,0.1
180,705071,0.099493,0.1
181,703044,0.099207,0.1
182,701027,0.098923,0.1
183,698981,0.098634,0.1
184,696993,0.098353,0.1
185,694998,0.098072,0.1
186,692986,0.097788,0.1
187,691012,0.097509,0.1
188,688978,0.097222,0.1
189,687023,0.096946,0.1
190,685081,0.096672,0.1
191,683159,0.096401,0.1
192,681197,0.096124,0.1
193,679287,0.095855,0.1
194,677435,0.095593,0.1
195,675516,0.095323,0.1
196,673613,0.095054,0.1
197,671620,0.094773,0.1
198,669722,0.094505,0.1
199,667877,0.094245,0.1
200,666084,0.093992,0.1
201,664152,0.093719,0.1
202,662399,0.093472,0.1
203,660521,0.093207,0.1
204,658682,0.092947,0.1
205,656848,0.092688,0.1
206,655013,0.09243,0.1
207,653255,0.092181,0.1
208,651454,0.091927,0.1
209,649609,0.091667,0.1
210,647855,0.091419,0.1
211,646127,0.091176,0.1
212,644372,0.090928,0.1
213,642616,0.09068,0.1
214,640857,0.090432,0.1
215,639125,0.090188,0.1
216,637393,0.089943,0.1
217,635705,0.089705,0.1
218,634093,0.089477,0.1
219,632383,0.089236,0.1
220,630697,0.088998,0.1
221,629099,0.088773,0.1
222,627501,0.088547,0.1
223,625838,0.088313,0.1
224,624216,0.088084,0.1
225,622696,0.087869,0.1
226,621060,0.087638,0.1
227,619494,0.087417,0.1
228,617955,0.0872,0.1
229,616394,0.08698,0.1
230,614789,0.086753,0.1
231,613213,0.086531,0.1
232,611720,0.08632,0.1
233,610214,0.086108,0.1
234,608783,0.085906,0.1
235,607238,0.085688,0.1
236,605718,0.085473,0.1
237,604293,0.085272,0.1
238,602841,0.085067,0.1
239,601416,0.084866,0.1
240,599979,0.084664,0.1
241,598512,0.084457,0.1
242,597093,0.084256,0.1
243,595661,0.084054,0.1
244,594227,0.083852,0.1
245,592774,0.083647,0.1
246,591398,0.083453,0.1
247,589993,0.083254,0.1
248,588606,0.083059,0.1
249,587134,0.082851,0.1
250,585727,0.082652,0.1
251,584323,0.082454,0.1
252,582901,0.082254,0.1
253,581534,0.082061,0.1
254,580203,0.081873,0.1
255,578893,0.081688,0.1
256,577564,0.081501,0.1
257,576220,0.081311,0.1
258,574838,0.081116,0.1
259,573515,0.080929,0.1
260,572214,0.080746,0.1
261,570924,0.080564,0.1
262,569635,0.080382,0.1
263,568324,0.080197,0.1
264,566897,0.079995,0.1
265,565531,0.079803,0.1
266,564229,0.079619,0.1
267,562926,0.079435,0.1
268,561599,0.079248,0.1
269,560340,0.07907,0.1
270,559010,0.078882,0.1
271,557736,0.078703,0.1
272,556447,0.078521,0.1
273,555168,0.07834,0.1
274,553908,0.078162,0.1
275,552656,0.077986,0.1
276,551328,0.077798,0.1
277,549969,0.077607,0.1
278,548683,0.077425,0.1
279,547412,0.077246,0.1
280,546160,0.077069,0.1
281,544888,0.07689,0.1
282,543631,0.076712,0.1
283,542366,0.076534,0.1
284,541110,0.076357,0.1
285,539874,0.076182,0.1
286,538674,0.076013,0.1
287,537441,0.075839,0.1
288,536204,0.075664,0.1
289,534963,0.075489,0.1
290,533742,0.075317,0.1
291,532493,0.075141,0.1
292,531273,0.074968,0.1
293,530097,0.074802,0.1
294,528931,0.074638,0.1
295,527821,0.074481,0.1
296,526688,0.074321,0.1
297,525509,0.074155,0.1
298,524373,0.073995,0.1
299,523244,0.073835,0.1
300,522131,0.073678,0.1
301,521067,0.073528,0.1
302,519982,0.073375,0.1
303,518850,0.073215,0.1
304,517712,0.073055,0.1
305,516590,0.072897,0.1
306,515491,0.072741,0.1
307,514391,0.072586,0.1
308,513266,0.072427,0.1
309,512144,0.072269,0.1
310,511045,0.072114,0.1
311,509938,0.071958,0.1
312,508848,0.071804,0.1
313,507758,0.07165,0.1
314,506668,0.071496,0.1
315,505577,0.071342,0.1
316,504490,0.071189,0.1
317,503469,0.071045,0.1
318,502407,0.070895,0.1
319,501339,0.070744,0.1
320,500264,0.070593,0.1
321,499235,0.070448,0.1
322,498143,0.070293,0.1
323,497068,0.070142,0.1
324,496028,0.069995,0.1
325,495002,0.06985,0.1
326,493935,0.0697,0.1
327,492956,0.069561,0.1
328,491944,0.069419,0.1
329,490952,0.069279,0.1
330,489909,0.069132,0.1
331,488930,0.068993,0.1
332,487920,0.068851,0.1
333,486868,0.068702,0.1
334,485877,0.068563,0.1
335,484853,0.068418,0.1
336,483818,0.068272,0.1
337,482786,0.068126,0.1
338,481807,0.067988,0.1
339,480857,0.067854,0.1
340,479870,0.067715,0.1
341,478910,0.067579,0.1
342,477896,0.067436,0.1
343,476884,0.067294,0.1
344,475918,0.067157,0.1
345,474973,0.067024,0.1
346,473978,0.066883,0.1
347,472990,0.066744,0.1
348,471990,0.066603,0.1
349,470974,0.06646,0.1
350,469983,0.06632,0.1
351,469019,0.066184,0.1
352,468035,0.066045,0.1
353,467032,0.065903,0.1
354,466060,0.065766,0.1
355,465149,0.065638,0.1
356,464212,0.065505,0.1
357,463260,0.065371,0.1
358,462320,0.065238,0.1
359,461387,0.065107,0.1
360,460460,0.064976,0.1
361,459516,0.064843,0.1
362,458663,0.064722,0.1
363,457812,0.064602,0.1
364,456904,0.064474,0.1
365,456020,0.064349,0.1
366,455156,0.064227,0.1
367,454171,0.064089,0.1
368,453219,0.063954,0.1
369,452304,0.063825,0.1
370,451476,0.063708,0.1
371,450606,0.063585,0.1
372,449690,0.063456,0.1
373,448790,0.063329,0.1
374,447866,0.063199,0.1
375,446943,0.063069,0.1
376,446065,0.062945,0.1
377,445193,0.062822,0.1
378,444358,0.062704,0.1
379,443501,0.062583,0.1
380,442575,0.062452,0.1
381,441715,0.062331,0.1
382,440759,0.062196,0.1
383,439890,0.062073,0.1
384,439060,0.061956,0.1
385,438200,0.061835,0.1
386,437315,0.06171,0.1
387,436414,0.061583,0.1
388,435593,0.061467,0.1
389,434791,0.061354,0.1
390,433933,0.061233,0.1
391,433100,0.061115,0.1
392,432279,0.060999,0.1
393,431437,0.06088,0.1
394,430615,0.060764,0.1
395,429786,0.060648,0.1
396,428928,0.060526,0.1
397,428081,0.060407,0.1
398,427272,0.060293,0.1
399,426459,0.060178,0.1
400,425654,0.060064,0.1
401,424832,0.059948,0.1
402,424000,0.059831,0.1
403,423125,0.059708,0.1
404,422328,0.059595,0.1
405,421545,0.059485,0.1
406,420790,0.059378,0.1
407,419963,0.059261,0.1
408,419177,0.05915,0.1
409,418409,0.059042,0.1
410,417615,0.05893,0.1
411,416811,0.058817,0.1
412,415978,0.058699,0.1
413,415120,0.058578,0.1
414,414297,0.058462,0.1
415,413501,0.05835,0.1
416,412706,0.058237,0.1
417,411881,0.058121,0.1
418,411048,0.058003,0.1
419,410221,0.057887,0.1
420,409443,0.057777,0.1
421,408645,0.057664,0.1
